;Name;Position;Nationality;Age;Height;Weight
1;Tobias Sippel;Goalkeeper;German;NA;180;79
2;Kevin Trapp;Goalkeeper;German;21;189;83
3;Jan Simunek;Defender;Czech;NA;189;79
4;Leon Jessen;Defender;Danish;25;182;75
5;Martin Amedick;Defender;German;NA;194;85
6;Matthias Abel;Defender;German;30;188;82
7;Alexander Bugera;Defender;German;33;180;75
8;Rodnei Francisco De Lima;Defender;Brazilian;26;190;90
9;Florian Dick;Defender;German;26;184;83
10;Oliver Kirch;Midfielder;German;NA;182;70
11;Christian Tiffert;Midfielder;German;29;183;75
12;Olcay Sahan;Midfielder;Turkish;24;177;70
13;Thanos Petsos;Midfielder;Greek;20;184;80
14;Gil Vermouth;Midfielder;Israeli;26;180;76
15;Clemens Walch;Midfielder;Austrian;24;180;74
16;Jiri Bilek;Midfielder;Czech;NA;183;73
17;Pierre De Wit;Midfielder;German;NA;172;70
18;Kostas Fortounis;Midfielder;Greek;18;182;69
19;Itay Shechter;Forward;Israeli;24;179;76
20;Ilijan Micanski;Forward;Bulgarian;NA;186;79
21;Richard Sukuta- Pasu;Forward;German;21;188;88
22;Chadli Amri;Forward;Algerian;NA;178;70
23;Stiven Rivic;Forward;Croatian;NA;181;74
24;Dorge Kouemaha;Forward;Cameroonian;28;190;85
25;Adam Nemec;Forward;Slovakian;NA;190;84
26;Michael Rensing;Goalkeeper;German;27;188;86
27;Miro Varvodic;Goalkeeper;Croatian;22;191;81
28;Miso Brecko;Defender;Slovenian;27;178;68
29;Ammar Jemal;Defender;Tunisian;24;186;87
30;Christian Eichner;Defender;German;28;183;76
31;Sascha Riether;Defender;German;28;174;70
32;Andrezinho;Defender;Brazilian;29;173;67
33;Sereno;Defender;Portuguese;26;188;78
34;Geromel;Defender;Brazilian;25;190;84
35;Kevin Mckenna;Defender;Canadian;29;190;85
36;Tomoaki Makino;Defender;Japanese;24;182;76
37;Petit;Midfielder;Portuguese;34;176;72
38;Martin Lanig;Midfielder;German;27;190;79
39;Slawomir Peszko;Midfielder;Polish;26;172;64
40;Kevin Pezzoni;Midfielder;German;22;193;91
41;Mato Jajalo;Midfielder;Croatian;23;182;77
42;Adam Matuschyk;Midfielder;Polish;22;183;73
43;Christian Clemens;Midfielder;German;20;180;70
44;Sebastian Freis;Forward;German;26;183;78
45;Lukas Podolski;Forward;German;26;182;83
46;Milivoje Novakovic;Forward;Slovenian;32;192;85
47;Alexandru Ionita;Forward;Romanian;22;185;80
48;Adil Chihi;Forward;German;23;183;78
49;Wilfried Sanou;Forward;Burkinabe;27;165;64
50;Raphael Sch<U+00E4>fer;Goalkeeper;German;32;190;91
51;Alexander Stephan;Goalkeeper;German;25;189;81
52;Per Nilsson;Defender;Swedish;29;190;86
53;Dominic Maroh;Defender;Slovenian;24;186;73
54;Timm Klose;Defender;Swiss;23;193;87
55;Juri Judt;Defender;German;NA;173;71
56;Javier Pinola;Defender;Argentinian;NA;180;79
57;Philipp Wollscheid;Defender;German;22;194;84
58;Timmy Simons;Midfielder;Belgian;34;186;79
59;Markus Feulner;Midfielder;German;29;181;77
60;Jens Hegeler;Midfielder;German;23;193;85
61;Robert Mak;Midfielder;Slovakian;20;179;75
62;Mike Frantz;Midfielder;German;24;180;77
63;Almog Cohen;Midfielder;Israeli;23;169;71
64;Daniel Didavi;Midfielder;German;21;179;73
65;Timothy Chandler;Midfielder;American;21;186;81
66;Markus Mendler;Midfielder;German;18;173;67
67;Alexander Esswein;Midfielder;German;21;181;76
68;Christian Eigler;Forward;German;NA;185;83
69;Tomas Pekhart;Forward;Czech;22;194;88
70;Albert Bunjaku;Forward;Swiss;27;178;77
71;Christian Wetklo;Goalkeeper;German;31;190;90
72;Heinz M<U+00FC>ller;Goalkeeper;German;33;193;88
73;Bo Svensson;Defender;Danish;NA;190;85
74;Malik Fathi;Defender;German;27;185;85
75;Zdenek Pospech;Defender;Czech;32;174;74
76;Nicolce Noveski;Defender;Macedonian;NA;190;87
77;Radoslav Zabavnik;Defender;Slovakian;30;183;77
78;Jan Kirchhoff;Defender;German;20;195;82
79;Niko Bungert;Defender;German;24;188;75
80;Fabian Sch<U+00F6>nheim;Defender;German;24;191;83
81;Marco Caligiuri;Midfielder;German;NA;180;75
82;Eugen Polanski;Midfielder;Polish;25;183;73
83;Yunus Malli;Midfielder;German;19;179;70
84;Julian Baumgartlinger;Midfielder;Austrian;23;181;78
85;Florian Heller;Midfielder;German;29;179;75
86;Elkin Soto;Midfielder;Colombian;31;179;76
87;Marcel Risse;Midfielder;German;NA;183;72
88;Andreas Ivanschitz;Midfielder;Austrian;27;183;79
89;Nicolai M<U+00FC>ller;Midfielder;German;23;173;66
90;Sami Allagui;Forward;Tunisian;25;182;77
91;Eric Maxim Choupo-moting;Forward;Cameroonian;22;190;82
92;Anthony Ujah;Forward;Nigerian;20;183;82
93;Zoltan Stieber;Forward;Hungarian;22;175;67
94;Mario Gavranovic;Forward;Swiss;21;175;68
95;Adam Szalai;Forward;Hungarian;23;193;82
96;Deniz Yilmaz;Forward;Turkish;23;182;79
97;Ren<U+00E9> Adler;Goalkeeper;German;26;189;85
98;David Yelldell;Goalkeeper;American;29;194;88
99;Bernd Leno;Goalkeeper;German;19;190;79
100;Fabian Giefer;Goalkeeper;German;21;196;86
101;Daniel Schwaab;Defender;German;23;186;75
102;Stefan Reinartz;Defender;German;22;190;85
103;Bastian Oczipka;Defender;German;22;184;83
104;Manuel Friedrich;Defender;German;32;189;83
105;<U+00D6>mer Toprak;Defender;German;22;186;81
106;Michal Kadlec;Defender;Czech;26;185;75
107;Gonzalo Castro;Defender;German;24;171;72
108;Simon Rolfes;Midfielder;German;29;191;83
109;Tranquillo Barnetta;Midfielder;Swiss;27;176;69
110;Lars Bender;Midfielder;German;NA;183;72
111;Andr<U+00E9> Sch<U+00FC>rrle;Midfielder;German;20;184;75
112;Renato Augusto;Midfielder;Brazilian;23;185;80
113;Michael Ballack;Midfielder;German;34;189;80
114;Hanno Balitsch;Midfielder;German;30;183;78
115;Michael Ortega;Midfielder;Colombian;20;170;73
116;Sidney Sam;Midfielder;German;23;174;70
117;Stefan Kiessling;Forward;German;27;191;78
118;Eren Derdiyok;Forward;Swiss;23;191;83
119;Nicolai J<U+00F6>rgensen;Forward;Danish;20;190;83
120;Karim Bellarabi;Forward;Moroccan;21;183;75
121;Roman Weidenfeller;Goalkeeper;German;31;188;85
122;Mitchell Langerak;Goalkeeper;Australian;23;191;80
123;Julian Koch;Defender;German;20;181;75
124;Neven Subotic;Defender;Serbian;22;193;88
125;Mats Hummels;Defender;German;22;192;90
126;Chris L<U+00F6>we;Defender;German;22;171;68
127;Patrick Owomoyela;Defender;German;31;187;87
128;Lukasz Piszczek;Defender;Polish;26;184;73
129;Felipe Santana;Defender;Brazilian;25;194;80
130;Marcel Schmelzer;Defender;German;23;181;74
131;Sebastian Kehl;Midfielder;German;31;188;80
132;Florian Kringe;Midfielder;German;29;187;83
133;Moritz Leitner;Midfielder;German;18;174;65
134;Antonio Da Silva;Midfielder;Brazilian;33;176;76
135;Mario G<U+00F6>tze;Midfielder;German;19;171;64
136;Ivan Perisic;Midfielder;Croatian;22;187;74
137;Jakub Blaszczykowski;Midfielder;Polish;25;175;71
138;Kevin Gro<U+00DF>kreutz;Midfielder;German;23;186;72
139;Ilkay G<U+00FC>ndogan;Midfielder;German;20;180;78
140;Sven Bender;Midfielder;German;22;185;72
141;Shinji Kagawa;Midfielder;Japanese;22;172;63
142;Robert Lewandowski;Forward;Polish;23;183;76
143;Mohamed Zidan;Forward;Egyptian;29;172;71
144;Lucas Barrios;Forward;Paraguayan;26;187;83
145;Marc-andr<U+00E9> Ter Stegen;Goalkeeper;German;19;189;84
146;Christofer Heimeroth;Goalkeeper;German;30;194;91
147;Matthias Zimmermann;Defender;German;19;176;73
148;Filip Daems;Defender;Belgian;32;181;79
149;Roel Brouwers;Defender;Dutch;29;192;81
150;Oscar Wendt;Defender;Swedish;25;181;83
151;Tony Jantschke;Defender;German;21;177;74
152;Dante Bonfim;Defender;Brazilian;27;188;85
153;Martin Stranzl;Defender;Austrian;31;190;85
154;Patrick Herrmann;Midfielder;German;20;179;68
155;Lukas Rupp;Midfielder;German;20;178;64
156;Marco Reus;Midfielder;German;22;180;75
157;Roman Neust<U+00E4>dter;Midfielder;German;23;190;83
158;Thorben Marx;Midfielder;German;30;184;83
159;Havard Nordtveit;Midfielder;Norwegian;21;188;83
160;Juan Arango;Midfielder;Venezuelan;31;180;76
161;Yuki Otsu;Midfielder;Japanese;21;180;73
162;Raul Bobadilla;Forward;Argentinian;NA;180;78
163;Igor De Camargo;Forward;Belgian;28;187;83
164;Mike Hanke;Forward;German;27;185;83
165;Simon Jentzsch;Goalkeeper;German;35;196;97
166;Mohamed Amsif;Goalkeeper;German;22;187;90
167;Paul Verhaegh;Defender;Dutch;28;178;74
168;Gibril Sankoh;Defender;Sierra Leonean;28;187;82
169;Dominik Reinhardt;Defender;German;26;188;81
170;Uwe M<U+00F6>hrle;Defender;German;31;188;81
171;Jonas De Roeck;Defender;Belgian;31;188;79
172;Axel Bellinghausen;Defender;German;28;182;77
173;Sebastian Langkamp;Defender;German;23;190;85
174;Marcel De Jong;Defender;Canadian;24;174;73
175;Jan-ingwer Callsen- Bracker;Defender;German;26;189;85
176;Hajime Hosogai;Midfielder;Japanese;25;177;64
177;Daniel Baier;Midfielder;German;27;175;73
178;Tobias Werner;Midfielder;German;26;177;67
179;Marcel Ndjeng;Midfielder;Cameroonian;29;179;72
180;Andrew Sinkala;Midfielder;Zambian;32;175;75
181;Daniel Brinkmann;Midfielder;German;25;193;89
182;Dawda Bah;Midfielder;Gambian;27;187;74
183;Lorenzo Davids;Midfielder;Dutch;25;174;74
184;Torsten Oehrl;Forward;German;25;191;84
185;Nando Rafael;Forward;German;27;180;75
186;Patrick Mayer;Forward;German;23;180;75
187;Edmond Kapllani;Forward;Albanian;29;185;86
188;Michael Thurk;Forward;German;35;178;68
189;Sascha M<U+00F6>lders;Forward;German;26;187;79
190;Stephan Hain;Forward;German;22;178;72
191;Manuel Neuer;Goalkeeper;German;25;193;90
192;Hans-j<U+00F6>rg Butt;Goalkeeper;German;37;191;91
193;Rouven Sattelmaier;Goalkeeper;German;24;187;85
194;Breno;Defender;Brazilian;21;187;83
195;Daniel Van Buyten;Defender;Belgian;33;196;96
196;Rafinha;Defender;Brazilian;26;172;68
197;Jerome Boateng;Defender;German;23;192;90
198;Philipp Lahm;Defender;German;27;170;65
199;Diego Contento;Defender;German;21;176;70
200;Holger Badstuber;Defender;German;22;189;78
201;Franck Ribery;Midfielder;French;28;170;72
202;Danijel Pranjic;Midfielder;Croatian;29;170;70
203;Thomas M<U+00FC>ller;Midfielder;German;22;186;74
204;David Alaba;Midfielder;Austrian;19;175;70
205;Luiz Gustavo;Midfielder;Brazilian;24;187;80
206;Bastian Schweinsteiger;Midfielder;German;27;183;79
207;Toni Kroos;Midfielder;German;21;182;74
208;Anatoliy Tymoshchuk;Midfielder;Ukrainian;32;181;70
209;Nils Petersen;Forward;German;22;188;79
210;Arjen Robben;Forward;Dutch;27;181;75
211;Ivica Olic;Forward;Croatian;32;182;85
212;Takashi Usami;Forward;Japanese;19;178;68
213;Mario Gomez;Forward;German;26;189;86
214;Ralf F<U+00E4>hrmann;Goalkeeper;German;22;194;89
215;Mathias Schober;Goalkeeper;German;35;190;94
216;Lars Unnerstall;Goalkeeper;German;21;198;100
217;Hans Sarpei;Defender;Ghanaian;35;178;73
218;Segio Escudero;Defender;Spanish;22;176;65
219;Benedikt H<U+00F6>wedes;Defender;German;23;187;78
220;Kyriakos Papadopoulos;Defender;Greek;19;183;85
221;Christoph Metzelder;Defender;German;30;194;91
222;Atsuto Uchida;Defender;Japanese;23;176;67
223;Christian Fuchs;Defender;Austrian;25;186;82
224;Tim Hoogland;Midfielder;German;26;183;81
225;Lewis Holtby;Midfielder;German;20;176;72
226;Alexander Baumjohann;Midfielder;German;24;178;75
227;Marco H<U+00F6>ger;Midfielder;German;22;186;78
228;Jermaine Jones;Midfielder;American;29;184;78
229;Jan Moravek;Midfielder;Czech;21;180;75
230;Jose Manuel Jurado;Midfielder;Spanish;25;173;72
231;Peer Kluge;Midfielder;German;30;179;68
232;Christoph Moritz;Midfielder;German;21;187;71
233;Levan Kenia;Midfielder;Georgian;20;176;70
234;Julian Draxler;Midfielder;German;17;185;70
235;Joel Matip;Midfielder;Cameroonian;20;192;83
236;Raul Gonzalez;Forward;Spanish;34;180;73
237;Ciprian Marica;Forward;Romanian;25;184;78
238;Jefferson Farfan;Forward;Peruvian;26;177;72
239;Teemu Pukki;Forward;Finnish;21;172;67
240;Klaas-jan Huntelaar;Forward;Dutch;28;186;78
241;Jaroslav Drobny;Goalkeeper;Czech;31;192;90
242;Tom Mickel;Goalkeeper;German;22;186;81
243;Wolfgang Hesl;Goalkeeper;German;NA;185;85
244;Slobodan Rajkovic;Defender;Serbian;22;191;89
245;Dennis Diekmeier;Defender;German;21;188;79
246;Michael Mancienne;Defender;English;23;184;74
247;Heiko Westermann;Defender;German;28;190;87
248;Jeffrey Bruma;Defender;Dutch;19;185;76
249;Dennis Aogo;Defender;German;24;184;84
250;Guy Demel;Defender;Ivorian;30;188;88
251;Muhamed Besic;Defender;Bosnian;19;180;75
252;Marcell Jansen;Midfielder;German;25;191;89
253;Tomas Rincon;Midfielder;Venezuelan;23;175;75
254;Ivo Ilicevic;Midfielder;Croatian;24;174;65
255;Robert  Tesche;Midfielder;German;24;180;73
256;David Jarolim;Midfielder;Czech;32;174;69
257;G<U+00F6>khan T<U+00F6>re;Midfielder;Turkish;19;176;74
258;Per Ciljan Skjelbred;Midfielder;Norwegian;24;175;62
259;Tolgay Arslan;Midfielder;German;21;179;75
260;Mickael Tavares;Midfielder;Senegalese;28;185;75
261;Gojko Kacar;Midfielder;Serbian;24;185;79
262;Paolo Guerrero;Forward;Peruvian;27;184;72
263;Mladen Petric;Forward;Croatian;30;185;81
264;Son Heung-min;Forward;South Korean;19;184;76
265;Marcus Berg;Forward;Swedish;25;184;76
266;Romeo Castelen;Forward;Dutch;28;170;65
267;Ron-robert Zieler;Goalkeeper;German;22;188;83
268;Markus Miller;Goalkeeper;German;29;189;89
269;Emanuel Pogatetz;Defender;Austrian;28;191;90
270;Mario Eggimann;Defender;Swiss;30;189;84
271;Steven Cherundolo;Defender;American;32;172;66
272;Christian Schulz;Defender;German;28;185;80
273;Karim Haggui;Defender;Tunisian;27;190;83
274;Sofian Chahed;Defender;Tunisian;28;178;73
275;Christopher Avevor;Defender;German;19;184;81
276;Leon Andreasen;Midfielder;Danish;28;188;81
277;Sergio Pinto;Midfielder;German;30;176;72
278;Altin Lala;Midfielder;Albanian;35;172;64
279;Henning Hauger;Midfielder;Norwegian;26;183;75
280;Daniel Royer;Midfielder;Austrian;21;177;73
281;Moritz Stoppelkamp;Midfielder;German;24;180;79
282;Christian Pander;Midfielder;German;28;186;80
283;Lars Stindl;Midfielder;German;23;180;73
284;Carlitos;Midfielder;Portuguese;29;175;72
285;Manuel Schmiedebach;Midfielder;German;22;171;70
286;Konstantin Rausch;Midfielder;German;21;182;76
287;Artur Sobiech;Forward;Polish;21;184;75
288;Didier Yah Konan;Forward;Ivorian;27;174;74
289;Jan Schlaudraff;Forward;German;28;180;68
290;Mohammed Abdellaoue;Forward;Norwegian;25;184;82
291;Maikel Aerts;Goalkeeper;Dutch;35;196;91
292;Sascha Burchert;Goalkeeper;German;21;188;78
293;Thomas Kraft;Goalkeeper;German;23;187;82
294;Christian Lell;Defender;German;27;183;80
295;Roman Hubnik;Defender;Czech;27;191;84
296;Andre Mijatovic;Defender;Croatian;31;191;80
297;Christoph Janker;Defender;German;26;185;78
298;Maik Franz;Defender;German;30;190;85
299;Ronny;Defender;Brazilian;25;175;74
300;Levan Kobiashvili;Midfielder;Georgian;34;183;79
301;Andreas Ottl;Midfielder;German;26;185;77
302;Raffael;Midfielder;Brazilian;26;174;69
303;<U+00C4>nis Ben-hatira;Midfielder;German;23;181;78
304;Peter Niemeyer;Midfielder;German;27;191;83
305;Patrick Ebert;Midfielder;German;24;176;76
306;Fanol Perdedaj;Midfielder;German;20;172;69
307;Fabian Lustenberger;Midfielder;Swiss;23;180;70
308;Adrian Ramos;Forward;Colombian;25;185;74
309;Tunay Torun;Forward;Turkish;21;179;72
310;Nikita Rukavytsya;Forward;Australian;24;183;74
311;Rob Friend;Forward;Canadian;30;195;94
312;Pierre-michel Lasogga;Forward;German;19;189;88
313;Daniel Batz;Goalkeeper;German;20;190;86
314;Manuel Salz;Goalkeeper;German;26;185;75
315;Oliver Baumann;Goalkeeper;German;21;187;80
316;Pavel Krmas;Defender;Czech;NA;193;86
317;Felix Bastians;Defender;German;23;188;83
318;Beg Ferati;Defender;Swiss;24;188;81
319;Heiko Butscher;Defender;German;31;189;86
320;Oliver Barth;Defender;German;31;188;80
321;Mensur Mujdza;Defender;Bosnian;27;184;74
322;Yacine Abdessadki;Midfielder;Moroccan;30;175;70
323;Cedric Makiadi;Midfielder;DR Congolese;27;178;77
324;Jan Rosenthal;Midfielder;German;25;186;75
325;Maximilian Nicu;Midfielder;Romanian;28;185;75
326;Anton Putsila;Midfielder;Belarusian;24;180;74
327;Johannes Flum;Midfielder;German;23;189;80
328;Julian Schuster;Midfielder;German;26;190;77
329;Daniel Caligiuri;Midfielder;German;23;186;81
330;Papiss Demba Cisse;Forward;Senegalese;26;183;73
331;Kisho Yano;Forward;Japanese;27;185;76
332;Erik Jendrisek;Forward;Slovakian;NA;176;74
333;Stefan Reisinger;Forward;German;30;185;82
334;Garra Dembele;Forward;Malian;25;186;75
335;Tim Wiese;Goalkeeper;German;29;193;89
336;Sebastian Mielitz;Goalkeeper;German;22;188;73
337;Christian Vander;Goalkeeper;German;30;195;90
338;Sebastian Boenisch;Defender;Polish;24;191;86
339;Naldo;Defender;Brazilian;NA;198;89
340;Clemens Fritz;Defender;German;30;183;81
341;Lukas Schmitz;Defender;German;22;184;80
342;Sebastian Pr<U+00F6>dl;Defender;Austrian;24;194;85
343;Mikael Silvestre;Defender;French;34;184;83
344;Sokratis Papastathopoulos;Defender;Greek;23;183;82
345;Andreas Wolf;Defender;German;29;182;82
346;Wesley Lopes Beltrame;Midfielder;Brazilian;24;179;63
347;Tim Borowski;Midfielder;German;31;194;85
348;Marko Marin;Midfielder;German;22;170;64
349;Aaron Hunt;Midfielder;German;25;183;73
350;Aleksandar Ignjovski;Midfielder;Serbian;20;174;68
351;Mehmet Ekici;Midfielder;Turkish;21;180;74
352;Tom Trybull;Midfielder;German;18;181;72
353;Predrag Stevanovic;Midfielder;Serbian;20;178;63
354;Florian Trinks;Midfielder;German;19;183;73
355;Philipp Bargfrede;Midfielder;German;22;174;71
356;Marko Arnautovic;Forward;Austrian;22;192;83
357;Denni Avdic;Forward;Swedish;23;192;94
358;Markus Rosenberg;Forward;Swedish;28;185;80
359;Felix Kroos;Forward;German;20;184;70
360;Sandro Wagner;Forward;German;23;194;90
361;Claudio Pizarro;Forward;Peruvian;32;186;84
362;Lennart Thy;Forward;German;19;184;75
363;Daniel Haas;Goalkeeper;German;28;188;82
364;Tom Starke;Goalkeeper;German;30;194;91
365;Andreas Beck;Defender;German;24;180;76
366;Matthias Jaissle;Defender;German;23;186;83
367;Marvin Compper;Defender;German;26;185;77
368;Isaac Vorsah;Defender;Ghanaian;23;192;85
369;Andreas Ibertsberger;Defender;Austrian;29;178;77
370;Edson Braafheid;Defender;Dutch;28;176;73
371;Sebastian Rudy;Midfielder;German;21;179;73
372;Boris Vukcevic;Midfielder;German;21;182;78
373;Gylfi Sigurdsson;Midfielder;Icelandic;22;186;77
374;Fabian Johnson;Midfielder;American;23;183;70
375;Tobias Weis;Midfielder;German;26;170;68
376;Roberto Firmino;Midfielder;Brazilian;19;180;76
377;Sejad Salihovic;Midfielder;Bosnian;27;182;82
378;Sven Schipplock;Forward;German;22;186;81
379;Ryan Babel;Forward;Dutch;24;185;78
380;Peniel Mlapa;Forward;German;20;193;85
381;Vedad Ibisevic;Forward;Bosnian;27;188;80
382;Chinedu Obasi;Forward;Nigerian;25;188;78
383;Sven Ulreich;Goalkeeper;German;23;192;84
384;Alexander Stolz;Goalkeeper;German;27;189;85
385;Marc Ziegler;Goalkeeper;German;35;192;89
386;Cristian Molinaro;Defender;Italian;28;180;76
387;Serdar Tasci;Defender;German;24;186;80
388;Georg Niedermeier;Defender;German;25;189;75
389;Francisco Maza Rodriguez;Defender;Mexican;29;191;79
390;Arthur Boka;Defender;Ivorian;28;166;67
391;Mathieu Delpierre;Defender;French;30;193;86
392;Khalid Boulahrouz;Defender;Dutch;29;183;74
393;Stefano Celozzi;Defender;German;23;171;65
394;William Kvist;Midfielder;Danish;26;184;80
395;Zdravko Kuzmanovic;Midfielder;Serbian;23;187;80
396;Johan Audel;Midfielder;French;27;181;78
397;Timo Gebhart;Midfielder;German;22;182;78
398;Ibrahima Traore;Midfielder;Guinean;23;170;61
399;Christian Gentner;Midfielder;German;26;189;81
400;Mamadou Bah;Midfielder;Guinean;23;183;79
401;Tamas  Hajnal;Midfielder;Hungarian;30;168;67
402;Martin Harnik;Forward;Austrian;24;185;75
403;Cacau;Forward;German;30;179;74
404;Julian Schieber;Forward;German;22;186;83
405;Pavel Pogrebnyak;Forward;Russian;27;188;91
406;Shinji Okazaki;Forward;Japanese;25;174;76
407;Diego Benaglio;Goalkeeper;Swiss;28;193;88
408;Andre Lenz;Goalkeeper;German;37;191;93
409;Marvin Hitz;Goalkeeper;Swiss;23;191;89
410;Arne Friedrich;Defender;German;32;185;80
411;Marcel Sch<U+00E4>fer;Defender;German;27;184;76
412;Sotiris Kyrgiakos;Defender;Greek;32;193;88
413;Alexander Madlung;Defender;German;29;193;93
414;Marco Russ;Defender;German;26;190;75
415;Chris;Defender;Brazilian;33;185;78
416;Hrvoje Cale;Defender;Croatian;26;184;76
417;Patrick Ochs;Midfielder;German;27;179;76
418;Ja-cheol Koo;Midfielder;South Korean;22;183;75
419;Aliaksandr Hleb;Midfielder;Belarusian;30;185;74
420;Josua;Midfielder;Brazilian;32;170;66
421;Thomas Kahlenberg;Midfielder;Danish;28;183;72
422;Thomas Hitzlsperger;Midfielder;German;29;183;80
423;Hasan Salihamidzic;Midfielder;Bosnian;34;176;71
424;Makoto Hasebe;Midfielder;Japanese;27;179;72
425;Tolga Cigerci;Midfielder;German;19;185;75
426;Christian Tr<U+00E4>sch;Midfielder;German;24;180;74
427;Mateusz Klich;Midfielder;Polish;21;183;68
428;Ashkan Dejagah;Midfielder;German;25;181;80
429;Jan Polak;Midfielder;Czech;30;181;77
430;Yohandry Orozco;Midfielder;Venezuelan;20;164;55
431;Rasmus Jonsson;Forward;Swedish;21;192;70
432;Srdjan Lakic;Forward;Croatian;27;186;81
433;Mario Mandzukic;Forward;Croatian;25;186;76
434;Patrick Helmes;Forward;German;27;182;81
435;Manuel Almunia;Goalkeeper;Spanish;34;193;86
436;Wojciech Szczesny;Goalkeeper;Polish;21;195;84
437;Lukasz Fabianski;Goalkeeper;Polish;26;191;83
438;Vito Mannone;Goalkeeper;Italian;23;191;80
439;Bacary Sagna;Defender;French;28;176;72
440;Per Mertesacker;Defender;German;26;198;90
441;Thomas Vermaelen;Defender;Belgian;25;182;82
442;Laurent Koscielny;Defender;French;26;186;75
443;Andre Santos;Defender;Brazilian;28;180;74
444;Sebastien Squillaci;Defender;French;31;184;76
445;Johan Djourou;Defender;Swiss;24;193;87
446;Kieran Gibbs;Defender;English;21;180;70
447;Abou Diaby;Midfielder;French;25;188;75
448;Tomas Rosicky;Midfielder;Czech;30;180;69
449;Mikel Arteta;Midfielder;Spanish;29;176;69
450;Aaron Ramsey;Midfielder;Welsh;20;178;76
451;Alexandre Song;Midfielder;Cameroonian;24;185;78
452;Jack Wilshere;Midfielder;English;19;173;68
453;Andrei Arshavin;Midfielder;Russian;30;172;72
454;Emmanuel Frimpong;Midfielder;Ghanaian;19;180;83
455;Yossi Benayoun;Midfielder;Israeli;31;173;61
456;Chu-young Park;Forward;South Korean;26;183;74
457;Robin Van Persie;Forward;Dutch;28;185;71
458;Theo Walcott;Forward;English;22;175;68
459;Gervais Yao Kouassi Gervinho;Forward;Ivorian;24;179;68
460;Marouane Chamakh;Forward;Moroccan;27;185;78
461;Ryo Miyaichi;Forward;Japanese;18;183;71
462;Sanchez Watt;Forward;English;20;180;76
463;Shay Given;Goalkeeper;Irish;35;185;83
464;Brad Guzan;Goalkeeper;American;27;193;95
465;Andy Marshall;Goalkeeper;English;36;188;86
466;Alan Hutton;Defender;Scottish;26;185;72
467;Stephen Warnock;Defender;English;29;175;76
468;Richard Dunne;Defender;Irish;31;188;98
469;James Collins;Defender;Welsh;28;193;90
470;Ciaran Clark;Defender;Irish;21;188;76
471;Habib Beye;Defender;Senegalese;33;183;79
