;Name;Position;Nationality;Age;Height;Weight
472;Carlos Cuellar;Defender;Spanish;30;190;84
473;Eric Lichaj;Defender;American;22;180;79
474;Stephen Ireland;Midfielder;Irish;25;173;65
475;Jermaine Jenas;Midfielder;English;28;180;76
476;Charles N'zogbia;Midfielder;French;25;170;69
477;Marc Albrighton;Midfielder;English;21;175;67
478;Fabian Delph;Midfielder;English;21;174;60
479;Stiliyan Petrov;Midfielder;Bulgarian;32;180;77
480;Barry Bannan;Midfielder;Scottish;21;170;63
481;Darren Bent;Forward;English;27;181;75
482;Gabriel Agbonlahor;Forward;English;24;180;79
483;Nathan Delfouneso;Forward;English;20;185;79
484;Emile Heskey;Forward;English;33;188;88
485;Paul Robinson;Goalkeeper;English;31;190;94
486;Mark Bunn;Goalkeeper;English;26;183;77
487;Michel Salgado;Defender;Spanish;35;174;75
488;Martin Olsson;Defender;Swedish;23;177;77
489;Christopher Samba;Defender;Congolese;27;193;90
490;Gael Givet;Defender;French;30;181;75
491;Ryan Nelsen;Defender;New Zealander;33;185;81
492;Scott Dann;Defender;English;24;188;76
493;Grant Hanley;Defender;Scottish;19;188;78
494;David Dunn;Midfielder;English;31;178;80
495;Mauro Formica;Midfielder;Argentinian;23;176;64
496;Vincenzo Grella;Midfielder;Australian;31;183;75
497;Morten Gamst Pedersen;Midfielder;Norwegian;30;180;76
498;Radosav Petrovic;Midfielder;Serbian;22;193;83
499;Steven N'zonzi;Midfielder;French;22;190;75
500;Simon Vukcevic;Midfielder;Montenegrin;25;180;81
501;Aiyegbeni Yakubu;Forward;Nigerian;28;183;83
502;Ruben Rochina;Forward;Spanish;20;179;69
503;Nick Blackman;Forward;English;21;188;75
504;David Hoilett;Forward;Canadian;21;172;71
505;David Goodwillie;Forward;Scottish;22;176;75
506;Jason Roberts;Forward;Grenadian;33;185;89
507;Jussi J<U+00E4><U+00E4>skel<U+00E4>inen;Goalkeeper;Finnish;36;191;80
508;Gretar Steinsson;Defender;Icelandic;29;189;78
509;Marcos Alonso;Defender;Spanish;20;188;85
510;Paul Robinson;Defender;English;32;175;72
511;Gary Cahill;Defender;English;25;188;71
512;Zat Knight;Defender;English;31;200;87
513;Tyrone Mears;Defender;English;28;181;74
514;Sam Ricketts;Defender;Welsh;29;185;77
515;Dedryck Boyata;Defender;Belgian;20;188;84
516;David Wheater;Defender;English;24;194;84
517;Fabrice Muamba;Midfielder;English;23;188;80
518;Chris Eagles;Midfielder;English;25;182;67
519;Stuart Holden;Midfielder;American;26;178;73
520;Ricardo Gardner;Midfielder;Jamaican;32;175;70
521;Mark Davies;Midfielder;English;23;180;74
522;Nigel Reo-coker;Midfielder;English;27;175;75
523;Darren Pratley;Midfielder;Jamaican;26;186;69
524;Sean Davis;Midfielder;English;31;178;77
525;Lee Chung-yong;Midfielder;South Korean;23;180;69
526;Tuncay Sanli;Forward;Turkish;29;182;70
527;Martin Petrov;Forward;Bulgarian;32;183;76
528;Kevin Davies;Forward;English;34;183;80
529;Ivan Klasnic;Forward;Croatian;31;186;79
530;Robbie Blake;Forward;English;35;175;76
531;David N'gog;Forward;French;22;190;76
532;Gael Kakuta;Forward;French;20;173;68
533;Petr Cech;Goalkeeper;Czech;29;195;87
534;Ross Turnbull;Goalkeeper;English;26;193;85
535;Henrique Hilario;Goalkeeper;Portuguese;35;188;86
536;Branislav Ivanovic;Defender;Serbian;27;188;84
537;Ashley Cole;Defender;English;30;176;66
538;David Luiz;Defender;Brazilian;24;188;84
539;Jose Bosingwa;Defender;Portuguese;29;183;75
540;Paulo Ferreira;Defender;Portuguese;32;182;76
541;John Terry;Defender;English;30;188;84
542;Alex Rodrigo Dias Da Costa;Defender;Brazilian;29;189;92
543;Ryan Bertrand;Defender;English;22;179;70
544;Michael Essien;Midfielder;Ghanaian;28;178;84
545;Oriol Romeu;Midfielder;Spanish;19;182;82
546;Ramires Santos Do Nascimento;Midfielder;Brazilian;24;180;67
547;Frank Lampard;Midfielder;English;33;183;78
548;John Obi Mikel;Midfielder;Nigerian;24;188;82
549;Raul Meireles;Midfielder;Portuguese;28;179;69
550;Josh Mceachran;Midfielder;English;18;178;66
551;Fernando Torres;Forward;Spanish;27;185;78
552;Juan Manuel Mata;Forward;Spanish;23;170;63
553;Didier Drogba;Forward;Ivorian;33;188;88
554;Florent Malouda;Forward;French;31;181;73
555;Romelu Lukaku;Forward;Belgian;18;192;94
556;Salomon Kalou;Forward;Ivorian;26;184;77
557;Daniel Sturridge;Forward;English;22;182;76
558;Nicolas Anelka;Forward;French;32;183;77
559;Jan Mucha;Goalkeeper;Slovakian;28;189;87
560;Tim Howard;Goalkeeper;American;32;191;88
561;Tony Hibbert;Defender;English;30;173;79
562;Leighton Baines;Defender;English;26;173;74
563;Joseph Yobo;Defender;Nigerian;31;188;76
564;Johnny Heitinga;Defender;Dutch;27;180;75
565;Phil Jagielka;Defender;English;29;183;83
566;Sylvain Distin;Defender;French;33;193;88
567;Philip Neville;Defender;English;34;180;75
568;Diniyar Bilyaletdinov;Midfielder;Russian;26;186;75
569;Royston Drenthe;Midfielder;Dutch;24;168;73
570;Leon Osman;Midfielder;English;30;173;64
571;Seamus Coleman;Midfielder;Irish;22;178;67
572;Marouane Fellaini;Midfielder;Belgian;23;194;85
573;Jack Rodwell;Midfielder;English;20;188;71
574;Louis Saha;Forward;French;33;181;80
575;Denis Stracqualursi;Forward;Argentinian;23;190;87
576;Tim Cahill;Forward;Australian;31;175;68
577;Apostolos Vellios;Forward;Greek;19;191;79
578;Victor Anichebe;Forward;Nigerian;23;191;85
579;Jose Baxter;Forward;English;19;179;74
580;Mark Schwarzer;Goalkeeper;Australian;38;194;85
581;Stephen Kelly;Defender;Irish;28;184;82
582;John Arne Riise;Defender;Norwegian;30;185;77
583;Brede Hangeland;Defender;Norwegian;30;195;92
584;Chris Baird;Defender;Northern Irish;29;179;71
585;Philippe Senderos;Defender;Swiss;26;190;84
586;Aaron Hughes;Defender;Northern Irish;31;183;78
587;Zdenek Grygera;Defender;Czech;31;185;78
588;Rafik Halliche;Defender;Algerian;25;187;77
589;Steve Sidwell;Midfielder;English;28;178;70
590;Pajtim Kasami;Midfielder;Swiss;19;187;75
591;Danny Murphy;Midfielder;English;34;175;67
592;Damien Duff;Midfielder;Irish;32;175;77
593;Bj<U+00F6>rn Helge Riise;Midfielder;Norwegian;28;175;70
594;Dickson Etuhu;Midfielder;Nigerian;29;187;82
595;Clint Dempsey;Midfielder;American;28;185;77
596;Simon Davies;Midfielder;Welsh;31;178;76
597;Andrew Johnson;Forward;English;30;170;71
598;Orlando Sa;Forward;Portuguese;23;188;85
599;Bryan Ruiz;Forward;Costa Rican;26;188;78
600;Bobby Zamora;Forward;English;30;191;73
601;Moussa Dembele;Forward;Belgian;24;183;83
602;Brad Jones;Goalkeeper;Australian;29;191;76
603;Pepe Reina;Goalkeeper;Spanish;29;188;84
604;Doni;Goalkeeper;Brazilian;31;194;91
605;Glen Johnson;Defender;English;27;183;80
606;Jose Enrique;Defender;Spanish;25;184;76
607;Daniel Agger;Defender;Danish;26;191;80
608;Fabio Aurelio;Defender;Brazilian;31;178;75
609;Sebastian Coates;Defender;Uruguayan;20;196;85
610;Danny Wilson;Defender;Scottish;19;187;79
611;Jamie Carragher;Defender;English;33;185;83
612;Martin Kelly;Defender;English;21;191;77
613;Martin <U+0160>krtel;Defender;Slovakian;26;191;81
614;John Flanagan;Defender;English;18;179;69
615;Jack Robinson;Defender;English;18;180;77
616;Steven Gerrard;Midfielder;English;31;183;79
617;Maxi Rodriguez;Midfielder;Argentinian;30;180;75
618;Jordan Henderson;Midfielder;English;21;183;70
619;Dirk Kuyt;Midfielder;Dutch;31;183;77
620;Stewart Downing;Midfielder;English;27;180;64
621;Jay Spearing;Midfielder;English;22;168;70
622;Lucas Leiva;Midfielder;Brazilian;24;179;74
623;Charlie Adam;Midfielder;Scottish;25;185;83
624;Jonjo Shelvey;Midfielder;English;19;183;70
625;Luis Suarez;Forward;Uruguayan;24;181;81
626;Andy Carroll;Forward;English;22;191;81
627;Craig Bellamy;Forward;Welsh;32;168;70
628;Stuart Taylor;Goalkeeper;English;30;196;90
629;Joe Hart;Goalkeeper;English;24;191;82
630;Costel Pantilimon;Goalkeeper;Romanian;24;203;100
631;Gunnar Nielsen;Goalkeeper;Faroese;24;191;82
632;Micah Richards;Defender;English;23;180;83
633;Wayne Bridge;Defender;English;31;177;68
634;Vincent Kompany;Defender;Belgian;25;191;85
635;Pablo Zabaleta;Defender;Argentinian;26;174;74
636;Joleon Lescott;Defender;English;29;188;83
637;Aleksandar Kolarov;Defender;Serbian;25;187;83
638;Stefan Savic;Defender;Montenegrin;20;186;73
639;Gael Clichy;Defender;French;26;176;65
640;Nedum Onuoha;Defender;English;24;183;94
641;Kolo Toure;Defender;Ivorian;30;183;76
642;James Milner;Midfielder;English;25;176;70
643;Adam Johnson;Midfielder;English;24;180;68
644;Gareth Barry;Midfielder;English;30;181;80
645;Samir Nasri;Midfielder;French;24;177;75
646;Owen Hargreaves;Midfielder;English;30;180;74
647;David Silva;Midfielder;Spanish;25;170;67
648;Nigel De Jong;Midfielder;Dutch;26;174;72
649;Yaya Toure;Midfielder;Ivorian;28;191;90
650;Gai Assulin;Forward;Israeli;20;173;65
651;Edin Dzeko;Forward;Bosnian;25;193;84
652;Sergio Ag<U+00FC>ero;Forward;Argentinian;23;172;74
653;Carlos Tavez;Forward;Argentinian;27;173;73
654;Mario Balotelli;Forward;Italian;21;189;88
655;David De Gea;Goalkeeper;Spanish;20;192;82
656;Tomasz Kuszczak;Goalkeeper;Polish;29;190;84
657;Anders Lindegaard;Goalkeeper;Danish;27;193;80
658;Patrice Evra;Defender;French;30;175;75
659;Phil Jones;Defender;English;19;185;82
660;Rio Ferdinand;Defender;English;32;189;77
661;Jonny Evans;Defender;Northern Irish;23;188;77
662;Chris Smalling;Defender;English;21;192;81
663;Nemanja Vidic;Defender;Serbian;29;189;84
664;Fabio Da Silva;Defender;Brazilian;21;173;69
665;Rafael Da Silva;Defender;Brazilian;21;172;69
666;Anderson;Midfielder;Brazilian;23;176;69
667;Ryan Giggs;Midfielder;Welsh;37;180;71
668;Park Ji-sung;Midfielder;South Korean;30;175;70
669;Michael Carrick;Midfielder;English;30;189;78
670;Nani;Midfielder;Portuguese;24;175;66
671;Ashley Young;Midfielder;English;26;175;65
672;Tom Cleverley;Midfielder;English;22;175;69
673;Darren Fletcher;Midfielder;Scottish;27;185;83
674;Luis Antonio Valencia;Midfielder;Ecuadorian;26;181;78
675;Darron Gibson;Midfielder;Irish;23;183;80
676;Matthew James;Midfielder;English;20;183;76
677;Ravel Morrison;Midfielder;English;18;175;71
678;Michael Owen;Forward;English;31;173;70
679;Dimitar Berbatov;Forward;Bulgarian;30;188;79
680;Wayne Rooney;Forward;English;25;178;79
681;Javier Chicharito Hernandez;Forward;Mexican;23;173;62
682;Danny Welbeck;Forward;English;20;188;73
683;Federico Macheda;Forward;Italian;20;186;73
684;Mame Biram Diouf;Forward;Senegalese;23;185;81
685;Steve Harper;Goalkeeper;English;36;188;83
686;Tim Krul;Goalkeeper;Dutch;23;188;75
687;Fabricio Coloccini;Defender;Argentinian;29;183;78
688;Davide Santon;Defender;Italian;20;187;77
689;Mike Williamson;Defender;English;27;191;84
690;Danny Simpson;Defender;English;24;173;72
691;James Perch;Defender;English;25;180;74
692;Ryan Taylor;Defender;English;27;175;65
693;Steven Taylor;Defender;English;25;188;81
694;Tamas Kadar;Defender;Hungarian;21;188;74
695;Yohan Cabaye;Midfielder;French;25;175;72
696;Daniel Guthrie;Midfielder;English;24;175;73
697;Hatem Ben Arfa;Midfielder;French;24;178;65
698;Dan Gosling;Midfielder;English;21;183;70
699;Alan Smith;Midfielder;English;30;178;70
700;Jonas Gutierrez;Midfielder;Argentinian;28;183;69
701;Cheik Tiot<U+00E9>;Midfielder;Ivorian;25;180;79
702;Peter Lovenkrands;Forward;Danish;31;180;75
703;Demba Ba;Forward;Senegalese;26;189;84
704;Leon Best;Forward;Irish;24;185;76
705;Sylvain Marveaux;Forward;French;25;172;71
706;Shola Ameobi;Forward;English;29;189;76
707;Gabriel Obertan;Forward;French;22;186;79
708;Nile Ranger;Forward;English;20;188;84
709;John Ruddy;Goalkeeper;English;24;193;98
710;Russell Martin;Defender;Scottish;24;183;73
711;Adam Drury;Defender;English;33;180;73
712;Leon Barnett;Defender;English;25;185;71
713;Elliott Ward;Defender;English;26;185;83
714;Kyle Naughton;Defender;English;22;178;73
715;Daniel Ayala;Defender;Spanish;20;191;81
716;Bradley Johnson;Midfielder;English;24;178;68
717;Andrew Crofts;Midfielder;Welsh;27;175;73
718;Andrew Surman;Midfielder;English;25;178;72
719;David Fox;Midfielder;English;27;175;70
720;Korey Smith;Midfielder;English;20;183;78
721;Simon Lappin;Midfielder;Scottish;28;180;60
722;Steve Morison;Forward;Welsh;28;188;85
723;James Vaughan;Forward;English;23;180;78
724;Grant Holt;Forward;English;31;183;81
725;Simeon Jackson;Forward;Canadian;24;175;72
726;Anthony Pilkington;Forward;Irish;23;183;76
727;Wes Hoolahan;Forward;Irish;28;168;72
728;Chris Martin;Forward;English;22;178;73
729;Paddy Kenny;Goalkeeper;Irish;33;185;89
730;Radek Cerny;Goalkeeper;Czech;37;191;89
731;Brian Murphy;Goalkeeper;Irish;28;185;80
732;Bradley Orr;Defender;English;28;183;75
733;Clint Hill;Defender;English;32;183;72
734;Fitz Hall;Defender;English;30;193;83
735;Danny Gabbidon;Defender;Welsh;32;178;71
736;Armand Traor<U+00E9>;Defender;Senegalese;21;185;67
737;Bruno Perone;Defender;Brazilian;24;191;85
738;Matthew Connolly;Defender;English;23;189;80
739;Luke Young;Defender;English;32;183;73
740;Danny Shittu;Defender;Nigerian;31;191;95
741;Anton Ferdinand;Defender;English;26;185;78
742;Martin Rowlands;Midfielder;Irish;32;175;68
743;Shaun Derry;Midfielder;English;33;183;82
744;Adel Taarabt;Midfielder;Moroccan;22;180;77
745;Kieron Dyer;Midfielder;English;32;173;64
746;Alejandro Faurlin;Midfielder;Argentinian;25;185;78
747;<U+00C1>kos Buzs<U+00E1>ky;Midfielder;Hungarian;29;180;74
748;Joey Barton;Midfielder;English;28;180;70
749;Tommy Smith;Midfielder;English;31;179;79
750;Hogan Ephraim;Midfielder;English;23;175;72
751;Shaun Wright-phillips;Midfielder;English;29;167;64
752;D.j. Campbell;Forward;English;29;178;72
753;Jay Bothroyd;Forward;English;29;191;81
754;Jamie Mackie;Forward;Scottish;25;178;71
755;Patrick Agyemang;Forward;Ghanaian;30;185;89
756;Rob Hulse;Forward;English;31;185;78
757;Heidar Helguson;Forward;Icelandic;34;178;76
758;Asmir Begovic;Goalkeeper;Bosnian;24;198;83
759;Carlo Nash;Goalkeeper;English;38;195;89
760;Thomas Sorensen;Goalkeeper;Danish;35;193;89
761;Danny Higginbotham;Defender;English;32;185;74
762;Robert Huth;Defender;German;27;191;90
763;Danny Collins;Defender;Welsh;31;185;76
764;Ryan Shawcross;Defender;English;23;191;76
765;Matthew Upson;Defender;English;32;185;72
766;Andrew Davies;Defender;English;26;188;82
767;Andy Wilkinson;Defender;English;27;180;70
768;Jonathan Woodgate;Defender;English;31;188;80
769;Glenn Whelan;Midfielder;Irish;27;180;80
770;Jermaine Pennant;Midfielder;English;28;175;68
771;Tom Soares;Midfielder;English;25;183;72
772;Marc Wilson;Midfielder;Irish;24;188;80
773;Danny Pugh;Midfielder;English;28;183;76
774;Salif Diao;Midfielder;Senegalese;34;184;76
775;Dean Whitehead;Midfielder;English;29;180;76
776;Michael Tonge;Midfielder;English;28;183;74
777;Rory Delap;Midfielder;Irish;35;183;74
778;Matthew Etherington;Midfielder;English;30;178;64
779;Diego Arismendi;Midfielder;Uruguayan;23;189;82
780;Wilson Palacios;Midfielder;Honduran;27;178;71
781;Kenwyne Jones;Forward;Trinidadian;26;188;84
782;Ricardo Fuller;Forward;Jamaican;31;191;78
783;Mamady Sidibe;Forward;Malian;31;194;87
784;Jon Walters;Forward;Irish;27;183;79
785;Peter Crouch;Forward;English;30;201;75
786;Cameron Jerome;Forward;English;25;185;85
787;Craig Gordon;Goalkeeper;Scottish;28;193;77
788;Keiren Westwood;Goalkeeper;Irish;26;188;86
789;Simon Mignolet;Goalkeeper;Belgian;23;193;87
790;Matthew Kilgallon;Defender;English;27;188;81
791;Nyron Nosworthy;Defender;Jamaican;30;185;80
792;Phil Bardsley;Defender;Scottish;26;180;77
793;Michael Turner;Defender;English;27;193;85
794;Wes Brown;Defender;English;31;185;75
795;Marcos Angeleri;Defender;Argentinian;28;182;68
796;John O'shea;Defender;Irish;30;190;88
797;Titus Bramble;Defender;English;30;185;87
798;Lee Cattermole;Midfielder;English;23;178;76
799;Sebastian Larsson;Midfielder;Swedish;26;178;70
800;Craig Gardner;Midfielder;English;24;178;75
801;Kieran Richardson;Midfielder;English;26;178;71
802;David Vaughan;Midfielder;Welsh;28;170;66
803;David Meyler;Midfielder;Irish;22;190;74
804;Ahmed Elmohamady;Midfielder;Egyptian;24;180;76
805;Stephane Sessegnon;Midfielder;Benin;27;172;72
806;Fraizer Campbell;Forward;English;24;180;71
807;Connor Wickham;Forward;English;18;191;72
808;Ji Dong-won;Forward;South Korean;20;187;74
809;Nicklas Bendtner;Forward;Danish;23;193;84
810;Michel Vorm;Goalkeeper;Dutch;27;183;84
811;Jose Moreira;Goalkeeper;Portuguese;29;185;83
812;Gerhard Tremmel;Goalkeeper;German;32;190;89
813;Ashley Williams;Defender;Welsh;27;183;75
814;Neil Taylor;Defender;Welsh;22;175;64
815;Alan Tate;Defender;English;29;185;85
816;Garry Monk;Defender;English;32;183;80
817;Federico Bessone;Defender;Argentinian;27;178;76
818;<U+00C0>ngel Rangel;Defender;Spanish;28;180;78
819;Ferry Bodde;Midfielder;Dutch;29;179;79
820;Leon Britton;Midfielder;English;29;168;64
821;Andrea Orlandi;Midfielder;Spanish;27;183;78
822;Nathan Dyer;Midfielder;English;23;165;57
823;Wayne Routledge;Midfielder;English;26;170;64
824;David Cotterill;Midfielder;Welsh;23;175;71
825;Joe Allen;Midfielder;Welsh;21;168;62
826;Kemy Agustien;Midfielder;Dutch;25;178;72
827;Mark Gower;Midfielder;English;32;180;75
828;Craig Beattie;Forward;Scottish;27;183;73
829;Danny Graham;Forward;English;26;185;83
830;Scott Sinclair;Forward;English;22;177;71
831;Stephen Dobbie;Forward;Scottish;28;173;70
832;Leroy Lita;Forward;English;26;170;75
833;Luke Moore;Forward;English;25;180;76
834;Ben Alnwick;Goalkeeper;English;24;183;80
835;Heurelho Gomes;Goalkeeper;Brazilian;30;191;82
836;Carlo Cudicini;Goalkeeper;Italian;38;185;78
837;Brad Friedel;Goalkeeper;American;40;193;92
838;Younes Kaboul;Defender;French;25;191;87
839;William Gallas;Defender;French;34;181;72
840;Sebastien Bassong;Defender;Cameroonian;25;191;75
841;Michael Dawson;Defender;English;27;188;79
842;Vedran Corluka;Defender;Croatian;25;193;85
843;Ledley King;Defender;English;30;188;91
844;Kyle Walker;Defender;English;21;178;73
845;Benoit Assou-ekotto;Defender;Cameroonian;27;178;71
846;Iago Falqu<U+00E9>;Midfielder;Spanish;21;173;67
847;Gareth Bale;Midfielder;Welsh;22;183;70
848;Tom Huddlestone;Midfielder;English;24;190;84
849;Aaron Lennon;Midfielder;English;24;165;63
850;Scott Parker;Midfielder;English;30;175;70
851;Luka Modric;Midfielder;Croatian;26;174;67
852;Niko Kranjcar;Midfielder;Croatian;27;185;74
853;Danny Rose;Midfielder;English;21;173;75
854;Sandro Ranieri Guimaraes Cordeiro;Midfielder;Brazilian;22;187;75
855;Steven Pienaar;Midfielder;South African;29;176;66
856;Roman Pavlyuchenko;Forward;Russian;29;188;80
857;Emmanuel Adebayor;Forward;Togolese;27;191;82
858;Rafael Van Der Vaart;Forward;Dutch;28;176;74
859;Giovani Dos Santos;Forward;Mexican;22;174;77
860;Jermain Defoe;Forward;English;28;170;65
861;Ben Foster;Goalkeeper;English;28;188;77
862;M<U+00E1>rton F<U+00FC>l<U+00F6>p;Goalkeeper;Hungarian;28;198;92
863;Jonas Olsson;Defender;Swedish;28;193;85
864;Steven Reid;Defender;Irish;30;183;76
865;Gonzalo Jara Reyes;Defender;Chilean;26;178;77
866;Nicky Shorey;Defender;English;30;175;67
867;Gareth Mcauley;Defender;Northern Irish;31;191;76
868;Billy Jones;Defender;English;24;181;77
869;Gabriel Tamas;Defender;Romanian;27;188;79
870;Somen Tchoyi;Midfielder;Cameroonian;28;190;85
871;James Morrison;Midfielder;Scottish;25;178;70
872;Chris Brunt;Midfielder;Northern Irish;26;185;84
873;Jerome Thomas;Midfielder;English;28;178;74
874;Graham Dorrans;Midfielder;Scottish;24;175;73
875;Youssuf Mulumbu;Midfielder;DR Congolese;24;177;65
876;Zoltan Gera;Midfielder;Hungarian;32;183;75
877;Paul Scharner;Midfielder;Austrian;31;191;80
878;Shane Long;Forward;Irish;24;178;71
879;Peter Odemwingie;Forward;Nigerian;30;182;74
880;Simon Cox;Forward;Irish;24;178;69
881;Marc-antoine Fortun<U+00E9>;Forward;French;30;183;82
882;Roman Bednar;Forward;Czech;28;190;84
883;Chris Kirkland;Goalkeeper;English;30;191;74
884;Mike Pollitt;Goalkeeper;English;39;193;89
885;Ali Al-habsi;Goalkeeper;Omani;29;194;85
886;Steve Gohouri;Defender;Ivorian;30;190;86
887;Antolin Alcaraz;Defender;Paraguayan;29;187;87
888;Gary Caldwell;Defender;Scottish;29;185;78
889;Emmerson Boyce;Defender;Barbadian;31;181;75
890;Ronnie Stam;Defender;Dutch;27;175;70
891;Adrian Piscu Lopez;Defender;Spanish;24;184;77
892;Patrick Van Aanholt;Defender;Dutch;21;175;67
893;Maynor Figueroa;Defender;Honduran;28;180;85
894;James Mccarthy;Midfielder;Irish;20;178;64
895;Hendry Thomas;Midfielder;Honduran;26;180;80
896;Ben Watson;Midfielder;English;26;178;68
897;Shaun Maloney;Midfielder;Scottish;28;171;70
898;Jordi Gomez;Midfielder;Spanish;26;178;74
899;James Mcarthur;Midfielder;Scottish;23;168;64
900;David Jones;Midfielder;English;26;180;63
901;Mohamed Diame;Midfielder;Senegalese;24;184;80
902;Albert Crusat;Forward;Spanish;29;165;65
903;Franco Di Santo;Forward;Argentinian;22;193;83
904;Victor Moses;Forward;Nigerian;20;177;73
905;Conor Sammon;Forward;Irish;24;185;80
906;Hugo Rodallega;Forward;Colombian;26;181;72
907;Wayne Hennessey;Goalkeeper;Welsh;24;196;85
908;Dorus De Vries;Goalkeeper;Dutch;30;186;80
909;George Elokobi;Defender;Cameroonian;25;175;90
910;Richard Stearman;Defender;English;24;191;73
911;Jody Craddock;Defender;English;36;185;78
912;Stephen Ward;Defender;Irish;26;179;75
913;Roger Johnson;Defender;English;28;191;70
914;Christophe Berra;Defender;Scottish;26;185;81
915;Ronald Zubar;Defender;French;25;186;80
916;David Edwards;Midfielder;Welsh;25;185;80
917;Michael Kightly;Midfielder;English;25;175;63
918;Karl Henry;Midfielder;English;28;183;76
919;Stephen Hunt;Midfielder;Irish;30;172;72
920;Matt Jarvis;Midfielder;English;25;173;70
921;Adam Hammill;Midfielder;English;23;172;73
922;Nenad Milijas;Midfielder;Serbian;28;188;86
923;Jamie O'hara;Midfielder;English;25;180;78
924;Kevin Foley;Midfielder;Irish;26;183;77
925;Adlene Guedioura;Midfielder;Algerian;25;180;81
926;Sylvan Ebanks-blake;Forward;English;25;178;84
927;Steven Fletcher;Forward;Scottish;24;185;76
928;Sam Vokes;Forward;Welsh;21;186;87
929;Leigh Griffiths;Forward;Scottish;21;170;67
930;Kevin Doyle;Forward;Irish;27;180;79
931;Gorka Iraizoz;Goalkeeper;Spanish;30;191;93
932;Raul Fernandez;Goalkeeper;Spanish;23;196;88
933;Jon Aurtenetxe;Defender;Spanish;19;182;82
934;Fernando Amorebieta;Defender;Venezuelan;26;192;85
935;Mikel San Jose;Defender;Spanish;22;186;77
936;Koikili Lertxundi;Defender;Spanish;30;168;67
937;Andoni Iraola;Defender;Spanish;29;182;74
938;Iban Zubiaurre;Defender;Spanish;28;177;75
939;Aitor Ocio;Defender;Spanish;34;187;79
940;Xabier Castillo;Defender;Spanish;25;182;71
941;Borja Ekiza;Defender;Spanish;23;180;73
942;David Lopez;Midfielder;Spanish;29;181;73
943;Ander Iturraspe;Midfielder;Spanish;22;187;74
944;<U+00D3>scar De Marcos;Midfielder;Spanish;22;181;76
